iteration,maincategory,subcategory,ulmean,ulmax,ulstd,ulslope,ulfirstquartile,ulthirdquartile,dlmean,dlmax,dlstd,dlslope,dlfirstquartile,dlthirdquartile
1,Conference,FacebookAudio,51.29699105882353,95.049,17.662143780016752,-0.10898412107746644,32.536100000000005,65.3281,7.9432219921875005,15.9519,2.71933637682271,-0.0019453729507610434,5.888025,9.5040825
2,Conference,FacebookAudio,47.226826,119.176,16.115168896259327,0.040860579772476376,33.632125,63.686325000000004,7.732016454183267,14.4315,2.337067264548558,0.00023961122367672168,5.9014050000000005,9.504059999999999
3,Conference,FacebookAudio,64.02997284,73.2499,4.99065562528918,0.007575961296020741,62.27285,66.461975,7.77547406374502,16.928,2.666211185829519,0.0002071995902105866,5.584935,9.50817
1,Conference,FacebookVideo,521.611694,638.22,41.0480533076401,-0.017100468103489665,496.62125000000003,547.4585,496.8740697211155,601.303,40.67873356473131,0.011829069626256874,469.37300000000005,529.185
2,Conference,FacebookVideo,521.5975459459459,643.029,44.76602020610381,-0.006533917848336454,493.288,550.6759999999999,502.10705,637.389,46.183556436844405,0.03591295672330158,470.2095,533.0615
3,Conference,FacebookVideo,520.7343420634921,654.359,47.12060547397354,-0.016428913894581672,494.39775,550.52475,501.6364482213438,653.878,47.76059534205035,0.02680174760763598,472.867,533.41
1,Conference,TelegramAudio,41.00321923076923,53.3583,4.545914319043328,-0.008412645186366308,37.536725,43.857275,12.468014444444444,18.1496,2.1810006250372154,-0.004795361622518962,11.262875000000001,13.6641
2,Conference,TelegramAudio,41.67080936802974,55.4886,4.168249439622107,0.005513056514207154,38.4972,44.3747,12.165739518518519,19.2959,2.2201866910084944,0.00017144764064741156,10.466575,13.59865
3,Conference,TelegramAudio,41.59310725190839,55.7263,4.548507440000654,0.006512663328452461,38.018,43.9882,12.302853878326998,19.0719,2.313470637798392,-0.001828992435016873,10.78125,13.563849999999999
1,Conference,TelegramVideo,1107.7539328063242,1275.21,88.47654249443855,0.11566731283095541,1057.72,1168.32,1119.4966692913385,1373.45,81.1924147860879,0.02023189186913134,1066.7775,1176.2975000000001
2,Conference,TelegramVideo,1140.3311455223882,1266.16,78.18904407318013,-0.09635185502669188,1123.7800000000002,1183.225,1099.2746096654275,1356.79,108.99693897584531,0.2543954292971328,1047.21,1172.22
3,Conference,TelegramVideo,1156.6457518796992,1246.47,38.662784562793234,0.019357846598688753,1136.9250000000002,1178.81,1123.8907228464418,1339.92,86.92018295230696,0.01156687795288991,1062.3400000000001,1179.345
4,Conference,TelegramVideo,1149.1115413533837,1248.58,41.56536994243282,0.0862629682112851,1123.0325,1173.85,1105.110906367041,1444.11,123.14024788323289,-0.015631469878788943,1038.325,1185.4850000000001
1,Conference,WhatsAppAudio,14.376576039999998,42.4274,12.445119220185042,0.1072888767129074,2.741225,27.386725,2.349374522088353,6.03817,1.1075503423439863,0.0001235747423241353,1.52076,3.10377
2,Conference,WhatsAppAudio,25.252622210884354,56.0512,11.878691953254698,0.08500003213220267,15.071925,33.345825,2.433953651877133,6.20804,1.2531204553555166,-0.0008707827464241108,1.52017,3.10399
3,Conference,WhatsAppAudio,28.740681003649634,42.6835,9.01407375231725,0.0592378408700788,26.2671,34.04055,2.341348349090909,5.85922,1.1086153756264834,0.00040517037477279906,1.5202049999999998,3.1039399999999997
1,Conference,WhatsAppVideo,484.55923015873026,643.809,66.44086405619909,0.42772643737116284,453.828,535.495,263.9543320158103,431.521,58.61511508654686,0.6653222440574371,221.193,307.947
2,Conference,WhatsAppVideo,505.3658382352941,575.35,33.48443296029308,0.004301824504993607,480.27225,534.02,539.2668205128206,745.339,66.72410936476334,0.20508976462567063,498.258,585.461
3,Conference,WhatsAppVideo,505.31010236220476,570.664,34.39963083345098,-0.005862069066523578,476.14050000000003,537.32625,557.6365835294118,728.783,62.61492344527157,-0.0661568611046781,514.8720000000001,594.1765
1,Conference,ZoomAudio,61.06068502008032,149.934,51.2218395524045,0.48677789644772623,14.608,120.777,7.420954539999999,23.0237,4.779444951871325,0.01248460939279029,3.935855,10.30045
2,Conference,ZoomAudio,70.03814899598393,162.903,55.044238072919875,0.4907311083560051,16.0641,130.784,7.10182572,22.304,4.951986692066153,0.003139276954831277,3.935455,10.0600825
3,Conference,ZoomAudio,82.0140995951417,169.891,53.542290048434126,0.45557747119645076,22.545949999999998,136.762,7.408196209677419,22.0963,4.5691185550064,-0.002991984631748884,3.9660475,10.29225
1,Conference,ZoomVideo,976.0446091205212,1151.13,58.323225596923415,-0.05908382085437076,938.534,1019.29,928.6145827922078,1038.73,54.104117717979975,-0.019919313135237694,894.37725,967.35825
2,Conference,ZoomVideo,955.5690381679389,1117.64,58.30757159471961,-0.072838087936556,916.967,1000.45975,932.1784448669201,1100.93,56.628148976843114,0.04962907307187921,901.8789999999999,969.548
3,Conference,ZoomVideo,961.3791764705883,1107.51,55.74169633801475,-0.028511013490041773,930.408,996.7385,929.37997265625,1044.83,49.098210128591084,0.03697875979915311,901.9000000000001,962.0705
1,OTTStraming,Apple,109512.0,152552.0,21556.742907962696,-1172.7278195488723,88828.0,123710.0,26393150.0,45719500.0,9078940.051927868,-695248.4210526316,18629700.0,32351475.0
2,OTTStraming,Apple,117509.6,152560.0,22204.932511493927,-935.4706766917294,102860.0,134342.0,23589430.0,42434200.0,7910344.639717033,-3587.218045112782,18494925.0,28672675.0
3,OTTStraming,Apple,105007.61904761905,148912.0,20630.27552034513,-741.974025974026,86128.0,120904.0,22560147.61904762,30864200.0,4758280.523928691,169372.2077922079,19650000.0,25371300.0
1,OTTStraming,Netflix,28815.0,66400.0,23805.292331748416,5969.809523809524,2400.0,42900.0,723822.0,1585820.0,607098.7994848944,165722.95238095237,3168.0,1153815.0
2,OTTStraming,Netflix,19375.0,55424.0,20660.13685821079,127.9047619047619,900.0,32472.0,481257.2,1578520.0,616241.4475850842,-52599.296969696974,3824.0,937766.0
3,OTTStraming,Netflix,27988.571428571428,49080.0,14273.047916136431,-2951.7142857142853,17200.0,39324.0,738508.0,1609100.0,686664.3922622527,34279.26666666667,158016.0,1519970.0
1,OTTStraming,Prime,35808.0,40944.0,3057.641443989141,397.9636363636364,34416.0,37980.0,1784353.8333333333,2405740.0,820622.1797475613,-5218.048951048947,1789582.5,2274337.5
2,OTTStraming,Prime,35726.4,45504.0,6565.026172072736,1273.309090909091,31908.0,41940.0,3010678.2,4743130.0,1317699.084139152,245513.27272727274,2132052.5,3945197.5
3,OTTStraming,Prime,34708.0,43392.0,10640.303003204373,-631.5524475524476,34944.0,39432.0,3115768.0,3893940.0,984751.9000763593,-64517.944055944055,3179505.0,3619915.0
1,ShoppingWebsite,Aamazon,396.369202287879,2160.395500000002,585.1028268009873,0.09005710628330336,24.7588,542.1775,3533.692412195513,20972.969999999998,6605.720584420263,-3.300421120955913,25.273975,2931.2325
2,ShoppingWebsite,Aamazon,371.1148132463413,2096.410999999999,571.7592511922217,-0.36676409572999,20.02995,468.929,3140.1835657022793,17685.18999999999,5722.173028824125,-9.887193332712139,27.8156,2822.585
3,ShoppingWebsite,Aamazon,402.42741406413944,2399.8889999999933,631.0817666835821,-0.26379782269954605,29.4328,486.37,3610.058047009118,21195.96,6254.733513900948,-2.6877651898462713,23.9954,4261.46
4,ShoppingWebsite,Aamazon,385.4333096724137,2252.903999999999,603.1631854716076,-0.05331180200154502,14.15095,516.5450000000001,3665.5694709939935,23826.159999999996,7288.6504237958525,-4.187882181194433,15.232,3267.13
5,ShoppingWebsite,Aamazon,403.9298689193083,2133.3379999999993,582.505329920149,-0.01915224565353869,27.618850000000002,502.7595,4865.104952353799,31576.73499999998,9934.047512133626,-2.609770484524644,20.707625,3262.2775
1,ShoppingWebsite,Ebay,299.5616780720221,1311.97,335.7137060871081,-0.2454745625069507,30.7155,467.071,1415.8565222173913,7267.678999999999,2146.7447547122792,-2.602510859093197,14.591000000000001,2111.38
2,ShoppingWebsite,Ebay,308.35336132970025,1340.47,336.39050507243326,-0.20036187497305297,25.688299999999998,508.0025,1635.882158373983,8765.147999999986,2458.284229826024,-2.4053267342867835,17.0239,2383.73
3,ShoppingWebsite,Ebay,295.7383722677596,1387.55,338.02199365311395,-0.3129677162039368,17.365025,506.34575,1336.1556987358335,6276.227500000004,1923.293613784107,-3.024799590218971,16.35615,1999.4499999999998
